Replay Name,Replay GUID,Replay Path,JSON Path
0B06AC434D764F178A19C89BF0E35E6E.replay,1808474E11E8C5366A550EB086B9BEA2,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\0B06AC434D764F178A19C89BF0E35E6E.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\0B06AC434D764F178A19C89BF0E35E6E.json
E2A780C747DDD68BD2CA30A0883B185B.replay,24AC830611E8C5375E1933A587866E61,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\E2A780C747DDD68BD2CA30A0883B185B.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\E2A780C747DDD68BD2CA30A0883B185B.json
7602D6854B0FB9F3C75CA1B9CA1476C6.replay,3373218C11E8C53843518AA4459FE61A,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\7602D6854B0FB9F3C75CA1B9CA1476C6.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\7602D6854B0FB9F3C75CA1B9CA1476C6.json
B773C6A540B8AFD54230F19E68F02B1D.replay,6226EF6211E8C5391F443A8BCE788AEF,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\B773C6A540B8AFD54230F19E68F02B1D.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\B773C6A540B8AFD54230F19E68F02B1D.json
62EAF86345406D7893E4F3BCC60E8099.replay,44262D6A11E8C53A5A53ECBCFFA26E0E,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\62EAF86345406D7893E4F3BCC60E8099.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\62EAF86345406D7893E4F3BCC60E8099.json
852C70EF4A970807B4761D8A805EF69A.replay,883D50C211E8C53B8445C38F9DA46A2F,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\852C70EF4A970807B4761D8A805EF69A.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\852C70EF4A970807B4761D8A805EF69A.json
27F745A14A182781DB67B885A638EC9F.replay,DA28B31C11E8C53C039CFC9FEF58DF76,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\27F745A14A182781DB67B885A638EC9F.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\27F745A14A182781DB67B885A638EC9F.json
B8EC5D2046D9D8BB13E483931AA191A0.replay,A404387611E8C53FE147DEB097E7C31F,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\B8EC5D2046D9D8BB13E483931AA191A0.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\B8EC5D2046D9D8BB13E483931AA191A0.json
BEFFBE804AF57BAD9128C0B3153D11AF.replay,5820624E11E8C545B2DF52AE85912911,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\BEFFBE804AF57BAD9128C0B3153D11AF.replay,C:\Users\Joseph\Documents\My Games\Rocket League\TAGame\Demos\BEFFBE804AF57BAD9128C0B3153D11AF.json
